true_target,true_class,pp_class,pp_target
benign,0,0,benign
benign,0,1,Itau Unibanco S.A
benign,0,1,Instagram
benign,0,1,Bank of America
benign,0,1,adidas
benign,0,0,benign
benign,0,1,sunrise
benign,0,1,eBay
benign,0,1,sunrise
benign,0,1,docmagic
benign,0,0,benign
benign,0,1,summit_bank
benign,0,1,La Banque postale
benign,0,1,Apple
benign,0,1,nordea
benign,0,0,benign
benign,0,1,shoptet
benign,0,1,Made-In-China
benign,0,1,otrs
benign,0,1,Bank of New Zealand
benign,0,1,Daum
benign,0,1,knab
benign,0,0,benign
benign,0,1,CaixaBank
benign,0,1,Itau Unibanco S.A
benign,0,1,lcl
benign,0,1,Steam
benign,0,1,AT&T
benign,0,1,IRS
benign,0,1,Canadian Imperial Bank of Commerce
benign,0,1,Deutsche Bank AG
benign,0,1,Bancolombia
benign,0,1,netsons
benign,0,1,Google
benign,0,1,"Airbnb, Inc."
benign,0,1,AT&T
benign,0,1,Bank of Montreal
benign,0,1,Chase Personal Banking
benign,0,1,ziggo
benign,0,1,Azul
benign,0,1,cryptobridge
benign,0,1,Bankia
benign,0,1,smartsheet
benign,0,1,IRS
benign,0,1,Amazon
benign,0,1,Adobe
benign,0,1,"Airbnb, Inc."
benign,0,1,smartsheet
benign,0,0,benign
benign,0,1,Bank of New Zealand
benign,0,1,sunrise
benign,0,0,benign
benign,0,1,bahia
benign,0,0,benign
benign,0,1,banco_inter
benign,0,0,benign
benign,0,1,Etisalat
benign,0,0,benign
benign,0,1,Itau Unibanco S.A
benign,0,1,American Express
benign,0,1,summit_bank
benign,0,1,BB&T Corporation
benign,0,0,benign
benign,0,1,Alibaba
benign,0,1,Alibaba
benign,0,1,AT&T
benign,0,0,benign
benign,0,1,Microsoft
benign,0,1,Deutsche Bank AG
benign,0,1,LinkedIn Corporation
benign,0,1,blizzard
benign,0,0,benign
benign,0,1,ieee
benign,0,1,eBay
benign,0,1,IRS
benign,0,1,adidas
benign,0,1,dkb
benign,0,0,benign
benign,0,1,youtube
benign,0,0,benign
benign,0,1,hfe
benign,0,1,"Airbnb, Inc."
benign,0,1,smiles
benign,0,1,Steam
benign,0,0,benign
benign,0,0,benign
benign,0,1,Facebook
benign,0,1,latam
benign,0,1,BNP Paribas
benign,0,0,benign
benign,0,1,xtrix_tv
benign,0,1,NatWest Personal Banking
benign,0,1,NatWest Personal Banking
benign,0,1,sicil_shop
benign,0,0,benign
benign,0,0,benign
benign,0,1,etrade
benign,0,1,Instagram
benign,0,1,blizzard
benign,0,1,Microsoft
benign,0,1,Azul
benign,0,0,benign
benign,0,1,ms_skype
benign,0,1,Bank of Montreal
benign,0,1,Alibaba
benign,0,1,Microsoft
benign,0,1,AT&T
benign,0,1,MyEtherWallet
benign,0,1,IRS
benign,0,0,benign
benign,0,1,Steam
benign,0,1,docmagic
benign,0,1,Chase Personal Banking
benign,0,1,Bank of Montreal
benign,0,1,eBay
benign,0,1,HSBC Bank
benign,0,0,benign
benign,0,1,latam
benign,0,1,NatWest Personal Banking
benign,0,1,Capital One Financial Corporation
benign,0,1,Netflix
benign,0,0,benign
benign,0,0,benign
benign,0,0,benign
benign,0,1,Canadian Imperial Bank of Commerce
benign,0,1,Bancolombia
benign,0,0,benign
benign,0,0,benign
benign,0,1,docmagic
benign,0,1,Itau Unibanco S.A
benign,0,1,BB&T Corporation
benign,0,1,Azul
benign,0,1,fnac
benign,0,1,Azul
benign,0,0,benign
benign,0,1,Canadian Imperial Bank of Commerce
benign,0,1,banco_inter
benign,0,0,benign
benign,0,1,tech_target
benign,0,1,Bank of Montreal
benign,0,0,benign
benign,0,1,Steam
benign,0,1,Orange
benign,0,1,Sparkasse Bank
benign,0,0,benign
benign,0,0,benign
benign,0,0,benign
benign,0,1,lcl
benign,0,1,MyEtherWallet
benign,0,1,Bancolombia
benign,0,1,Bank of Montreal
benign,0,1,Capital One Financial Corporation
benign,0,1,eBay
benign,0,0,benign
benign,0,1,Bankia
benign,0,0,benign
benign,0,1,BT Group plc
benign,0,1,eBay
benign,0,1,International Card Services B.V
benign,0,1,cetelem
benign,0,1,docmagic
benign,0,1,fnac
benign,0,1,CaixaBank
benign,0,1,tech_target
benign,0,0,benign
benign,0,0,benign
benign,0,1,erste
benign,0,0,benign
benign,0,1,"Airbnb, Inc."
benign,0,1,summit_bank
benign,0,1,Etisalat
benign,0,0,benign
benign,0,1,lcl
benign,0,1,Commonwealth Bank of Australia
benign,0,1,Microsoft
benign,0,1,Itau Unibanco S.A
benign,0,0,benign
benign,0,1,Chase Personal Banking
benign,0,1,bcp
benign,0,1,"Twitter, Inc."
benign,0,1,Bank of Montreal
benign,0,0,benign
benign,0,1,mdpd
benign,0,1,Made-In-China
benign,0,1,eBay
benign,0,0,benign
benign,0,1,Facebook
benign,0,0,benign
benign,0,0,benign
benign,0,1,summit_bank
benign,0,1,Itau Unibanco S.A
benign,0,1,bcp
benign,0,1,Daum
benign,0,1,fsnb
benign,0,0,benign
benign,0,1,Bancolombia
benign,0,0,benign
benign,0,0,benign
benign,0,0,benign
benign,0,0,benign
benign,0,1,bahia
benign,0,1,fsnb
benign,0,1,MyEtherWallet
benign,0,0,benign
benign,0,0,benign
benign,0,1,eBay
benign,0,1,Sparkasse Bank
benign,0,1,Steam
benign,0,1,sharp
benign,0,0,benign
benign,0,1,Cox Communications
benign,0,0,benign
benign,0,0,benign
benign,0,0,benign
benign,0,1,Steam
benign,0,0,benign
benign,0,1,bcp
benign,0,1,cetelem
benign,0,1,ms_skype
benign,0,1,ziggo
benign,0,1,Bank of Montreal
benign,0,1,Yahoo!
benign,0,1,Itau Unibanco S.A
benign,0,1,smartsheet
benign,0,1,summit_bank
benign,0,1,Adobe
benign,0,1,AOL
benign,0,1,RBC Royal Bank
benign,0,0,benign
benign,0,1,ieee
benign,0,1,Steam
benign,0,1,Barclays Bank Plc
benign,0,1,adidas
benign,0,1,PayPal
benign,0,0,benign
benign,0,1,summit_bank
benign,0,1,DHL Airways
benign,0,1,sicil_shop
benign,0,0,benign
benign,0,1,Bank of Montreal
benign,0,1,Yahoo!
benign,0,1,snapchat
benign,0,1,Canadian Imperial Bank of Commerce
benign,0,1,Barclays Bank Plc
benign,0,1,Stripe
benign,0,1,Microsoft
benign,0,1,Navy Federal Credit Union
benign,0,0,benign
benign,0,1,anadolubank
benign,0,0,benign
benign,0,1,"Airbnb, Inc."
benign,0,1,LinkedIn Corporation
benign,0,1,MyEtherWallet
benign,0,0,benign
benign,0,1,Itau Unibanco S.A
benign,0,0,benign
benign,0,1,Wells Fargo & Company
benign,0,1,Instagram
benign,0,1,lcl
benign,0,1,Absa Group
benign,0,1,docmagic
benign,0,1,crate_and_barrel
benign,0,1,Itau Unibanco S.A
benign,0,1,lcl
benign,0,1,National Australia Bank Limited
benign,0,1,latam
benign,0,1,erste
benign,0,0,benign
benign,0,1,Microsoft
benign,0,0,benign
benign,0,1,fnac
benign,0,0,benign
benign,0,0,benign
benign,0,1,MWeb
benign,0,1,mdpd
benign,0,1,eBay
benign,0,0,benign
benign,0,1,latam
benign,0,1,Bank of New Zealand
benign,0,0,benign
benign,0,1,Yahoo!
benign,0,1,Bank of Montreal
benign,0,0,benign
benign,0,0,benign
benign,0,1,Capital One Financial Corporation
benign,0,1,eBay
benign,0,1,netsons
benign,0,1,BNP Paribas
benign,0,1,mbank
benign,0,1,fnac
benign,0,1,smartsheet
benign,0,1,RuneScape
benign,0,1,Bank of Montreal
benign,0,1,Itau Unibanco S.A
benign,0,1,DHL Airways
benign,0,1,Steam
benign,0,0,benign
benign,0,0,benign
benign,0,1,IRS
benign,0,1,barclaycard
benign,0,0,benign
benign,0,0,benign
benign,0,1,Wells Fargo & Company
benign,0,1,IRS
benign,0,1,DHL Airways
benign,0,0,benign
benign,0,1,Capital One Financial Corporation
benign,0,1,blizzard
benign,0,1,fsnb
benign,0,1,Daum
benign,0,0,benign
benign,0,1,NatWest Personal Banking
benign,0,1,Adobe
benign,0,1,mbank
benign,0,1,lcl
benign,0,1,qnb
benign,0,1,IRS
benign,0,1,sharp
benign,0,1,CaixaBank
benign,0,1,summit_bank
benign,0,0,benign
benign,0,0,benign
benign,0,1,infinisource
benign,0,1,cetelem
benign,0,1,Chase Personal Banking
benign,0,1,PayPal
benign,0,1,La Poste
benign,0,1,anadolubank
benign,0,1,Bank of Montreal
benign,0,1,adidas
benign,0,1,Microsoft
benign,0,0,benign
benign,0,1,BNP Paribas
benign,0,1,Steam
benign,0,1,barclaycard
benign,0,1,Alibaba
benign,0,1,RBC Royal Bank
benign,0,0,benign
benign,0,0,benign
benign,0,1,Steam
benign,0,1,RuneScape
benign,0,1,eBay
benign,0,1,DHL Airways
benign,0,1,HSBC Bank
benign,0,1,Absa Group
benign,0,1,Capitec Bank Limited
benign,0,1,latam
benign,0,1,fnac
benign,0,1,etrade
benign,0,1,Navy Federal Credit Union
benign,0,1,cloudconvert
benign,0,1,lcl
benign,0,1,Deutsche Bank AG
benign,0,1,Bancolombia
benign,0,0,benign
benign,0,1,anadolubank
benign,0,1,latam
benign,0,0,benign
benign,0,1,htb
benign,0,0,benign
benign,0,1,lcl
benign,0,1,Bank of Montreal
benign,0,0,benign
benign,0,1,fsnb
benign,0,1,HSBC Bank
benign,0,1,latam
benign,0,1,AT&T
benign,0,1,lcl
benign,0,1,IRS
benign,0,1,eBay
benign,0,1,fnac
benign,0,1,lcl
benign,0,1,DHL Airways
benign,0,1,youtube
benign,0,1,Bancolombia
benign,0,1,Dropbox
benign,0,0,benign
benign,0,1,HSBC Bank
benign,0,0,benign
benign,0,1,Microsoft
benign,0,1,summit_bank
benign,0,0,benign
benign,0,0,benign
benign,0,1,barclaycard
benign,0,1,sicil_shop
benign,0,0,benign
benign,0,1,Steam
benign,0,0,benign
benign,0,1,Deutsche Bank AG
benign,0,1,Bankia
benign,0,1,NatWest Personal Banking
benign,0,0,benign
benign,0,1,Itau Unibanco S.A
benign,0,0,benign
benign,0,1,docmagic
benign,0,1,Steam
benign,0,0,benign
benign,0,1,Barclays Bank Plc
benign,0,1,docmagic
benign,0,1,Made-In-China
benign,0,1,Microsoft
benign,0,1,"Airbnb, Inc."
benign,0,0,benign
benign,0,1,Microsoft
benign,0,1,hfe
benign,0,1,fnac
benign,0,1,Chase Personal Banking
benign,0,0,benign
benign,0,1,AT&T
benign,0,1,Facebook
benign,0,0,benign
benign,0,1,smartsheet
benign,0,1,PayPal
benign,0,1,Microsoft
benign,0,1,TradeKey
benign,0,1,Steam
benign,0,1,lcl
benign,0,1,American Express
benign,0,0,benign
benign,0,1,First Investment Bank
benign,0,1,mdpd
benign,0,1,smartsheet
benign,0,1,Bancolombia
benign,0,1,Alibaba
benign,0,0,benign
benign,0,0,benign
benign,0,1,Microsoft
benign,0,1,banco_inter
benign,0,1,Capital One Financial Corporation
benign,0,1,Itau Unibanco S.A
benign,0,1,typeform
benign,0,1,lcl
benign,0,1,PayPal
benign,0,1,Netflix
benign,0,1,PayPal
benign,0,1,Alibaba
benign,0,0,benign
benign,0,1,Commonwealth Bank of Australia
benign,0,1,Steam
benign,0,0,benign
benign,0,1,Alibaba
benign,0,1,mdpd
benign,0,1,infinisource
benign,0,1,netsons
benign,0,1,Cogeco
benign,0,1,Sparkasse Bank
benign,0,1,fnac
benign,0,1,Bankia
benign,0,1,walmart
benign,0,1,Etisalat
benign,0,1,Etisalat
benign,0,1,NatWest Personal Banking
benign,0,0,benign
benign,0,0,benign
benign,0,1,Bancolombia
benign,0,1,Capital One Financial Corporation
benign,0,1,Amazon
benign,0,1,mbank
benign,0,1,latam
benign,0,0,benign
benign,0,1,Microsoft
benign,0,0,benign
benign,0,1,BT Group plc
benign,0,1,1&1 Ionos
benign,0,1,MyEtherWallet
benign,0,1,walmart
benign,0,1,Wells Fargo & Company
benign,0,1,cryptobridge
benign,0,1,Capitec Bank Limited
benign,0,1,WhatsApp
benign,0,1,sicil_shop
benign,0,1,Google
benign,0,1,CaixaBank
benign,0,0,benign
benign,0,1,ziggo
benign,0,1,Bank of Montreal
benign,0,1,Absa Group
benign,0,1,fnac
benign,0,1,Deutsche Bank AG
benign,0,1,Alibaba
benign,0,1,test_rite
benign,0,1,La Banque postale
benign,0,1,summit_bank
benign,0,0,benign
benign,0,0,benign
benign,0,0,benign
benign,0,1,tech_target
benign,0,0,benign
benign,0,0,benign
benign,0,1,snapchat
benign,0,1,snapchat
benign,0,1,Yahoo!
benign,0,1,LinkedIn Corporation
benign,0,1,blizzard
benign,0,1,qnb
benign,0,0,benign
benign,0,1,etrade
benign,0,1,Steam
benign,0,1,1&1 Ionos
benign,0,1,wp60
benign,0,0,benign
benign,0,1,CaixaBank
benign,0,1,1&1 Ionos
benign,0,1,Deutsche Bank AG
benign,0,1,Alibaba
benign,0,1,sicil_shop
benign,0,1,Deutsche Bank AG
benign,0,0,benign
benign,0,0,benign
benign,0,0,benign
benign,0,0,benign
benign,0,1,cloudconvert
benign,0,0,benign
benign,0,0,benign
benign,0,0,benign
benign,0,0,benign
benign,0,0,benign
benign,0,0,benign
benign,0,1,barclaycard
benign,0,1,Facebook
benign,0,1,MWeb
benign,0,1,Allegro
benign,0,1,Dropbox
benign,0,0,benign
benign,0,1,eBay
benign,0,1,Bancolombia
benign,0,0,benign
benign,0,1,BNP Paribas
benign,0,1,PayPal
benign,0,0,benign
benign,0,1,Dropbox
benign,0,1,La Poste
benign,0,1,Google
benign,0,1,LinkedIn Corporation
benign,0,1,Deutsche Bank AG
benign,0,1,BB&T Corporation
benign,0,1,summit_bank
benign,0,1,Azul
benign,0,0,benign
benign,0,1,eBay
benign,0,1,La Banque postale
benign,0,1,Alibaba
benign,0,1,hfe
benign,0,1,sicil_shop
benign,0,0,benign
benign,0,1,Barclays Bank Plc
benign,0,1,youtube
benign,0,1,dkb
benign,0,0,benign
benign,0,1,mdpd
benign,0,0,benign
benign,0,1,fnac
benign,0,1,Government of the United Kingdom
benign,0,1,"Twitter, Inc."
benign,0,1,Steam
benign,0,0,benign
benign,0,1,fnac
benign,0,0,benign
benign,0,1,summit_bank
benign,0,1,Wells Fargo & Company
benign,0,0,benign
benign,0,1,otrs
benign,0,1,Etisalat
benign,0,1,Facebook
benign,0,1,CaixaBank
benign,0,0,benign
benign,0,1,Bank of America
benign,0,0,benign
benign,0,1,cetelem
benign,0,1,Cogeco
benign,0,0,benign
benign,0,1,Instagram
benign,0,1,Steam
benign,0,0,benign
benign,0,1,Bancolombia
benign,0,1,AT&T
benign,0,1,sicil_shop
benign,0,1,eBay
benign,0,1,Steam
benign,0,1,Bank of Montreal
benign,0,1,Sparkasse Bank
benign,0,0,benign
benign,0,1,Barclays Bank Plc
benign,0,1,Bank of Montreal
benign,0,1,DHL Airways
benign,0,0,benign
benign,0,1,Alibaba
benign,0,1,sharp
benign,0,1,Cogeco
benign,0,1,Etisalat
benign,0,1,fsnb
benign,0,1,adidas
benign,0,0,benign
benign,0,1,Itau Unibanco S.A
benign,0,1,American Express
benign,0,0,benign
benign,0,0,benign
benign,0,1,bahia
benign,0,1,otrs
benign,0,1,Capitec Bank Limited
benign,0,0,benign
benign,0,0,benign
benign,0,1,Instagram
benign,0,1,NedBank Limited
benign,0,1,etrade
benign,0,1,Deutsche Bank AG
benign,0,1,barclaycard
benign,0,1,dkb
benign,0,1,Yahoo!
benign,0,1,BNP Paribas
benign,0,1,sunrise
benign,0,1,cathay_bank
benign,0,1,Chase Personal Banking
benign,0,0,benign
benign,0,1,SunTrust Bank
benign,0,1,sicil_shop
benign,0,0,benign
benign,0,1,Bank of Montreal
benign,0,1,Barclays Bank Plc
benign,0,1,Canadian Imperial Bank of Commerce
benign,0,1,BNP Paribas
benign,0,0,benign
benign,0,1,Bancolombia
benign,0,1,bahia
benign,0,1,Adobe
benign,0,1,Dropbox
benign,0,1,summit_bank
benign,0,0,benign
benign,0,1,RBC Royal Bank
benign,0,1,blizzard
benign,0,1,BB&T Corporation
benign,0,1,ziggo
benign,0,0,benign
benign,0,1,Absa Group
benign,0,0,benign
benign,0,0,benign
benign,0,1,shoptet
benign,0,1,Netflix
benign,0,1,PayPal
benign,0,0,benign
benign,0,0,benign
benign,0,0,benign
benign,0,1,"Twitter, Inc."
benign,0,0,benign
benign,0,0,benign
benign,0,0,benign
benign,0,1,Canadian Imperial Bank of Commerce
benign,0,1,Made-In-China
benign,0,0,benign
benign,0,1,Deutsche Bank AG
benign,0,1,BNP Paribas
benign,0,1,wp60
benign,0,1,NatWest Personal Banking
benign,0,1,cetelem
benign,0,1,BB&T Corporation
benign,0,0,benign
benign,0,0,benign
benign,0,1,BT Group plc
benign,0,1,smiles
benign,0,0,benign
benign,0,1,bcp
benign,0,1,smartsheet
benign,0,1,netsons
benign,0,1,latam
benign,0,1,Orange
benign,0,1,Bancolombia
benign,0,1,Sparkasse Bank
benign,0,1,La Banque postale
benign,0,1,Navy Federal Credit Union
benign,0,1,RuneScape
benign,0,1,BB&T Corporation
benign,0,1,Adobe
benign,0,1,NedBank Limited
benign,0,1,mbank
benign,0,1,Apple
benign,0,0,benign
benign,0,1,SunTrust Bank
benign,0,1,nordea
benign,0,1,Wells Fargo & Company
benign,0,1,Wells Fargo & Company
benign,0,1,eBay
benign,0,1,mbank
benign,0,1,mdpd
benign,0,1,Bankia
benign,0,0,benign
benign,0,1,arnet_tech
benign,0,1,eBay
benign,0,1,fnac
benign,0,1,Orange
benign,0,1,cryptobridge
benign,0,1,postbank
benign,0,1,Adobe
benign,0,1,IRS
benign,0,1,Steam
benign,0,1,TradeKey
benign,0,1,fsnb
benign,0,0,benign
benign,0,0,benign
benign,0,0,benign
benign,0,1,PayPal
benign,0,1,Google
benign,0,1,Allegro
benign,0,0,benign
benign,0,1,typeform
benign,0,1,anadolubank
benign,0,1,sharp
benign,0,0,benign
benign,0,0,benign
benign,0,0,benign
benign,0,1,taxact
benign,0,1,bcp
benign,0,0,benign
benign,0,1,DHL Airways
benign,0,1,HSBC Bank
benign,0,0,benign
benign,0,1,Microsoft
benign,0,1,summit_bank
benign,0,1,RBC Royal Bank
benign,0,0,benign
benign,0,1,typeform
benign,0,1,summit_bank
benign,0,1,DHL Airways
benign,0,1,Wells Fargo & Company
benign,0,1,fnac
benign,0,1,fnac
benign,0,0,benign
benign,0,1,eBay
benign,0,0,benign
benign,0,1,RBC Royal Bank
benign,0,0,benign
benign,0,1,National Australia Bank Limited
benign,0,1,HSBC Bank
benign,0,1,arnet_tech
benign,0,1,Absa Group
benign,0,0,benign
benign,0,1,French Health Insurance
benign,0,1,Bankia
benign,0,1,Absa Group
benign,0,0,benign
benign,0,0,benign
benign,0,1,RBC Royal Bank
benign,0,1,Chase Personal Banking
benign,0,1,Bancolombia
benign,0,1,SunTrust Bank
benign,0,1,Navy Federal Credit Union
benign,0,1,mbank
benign,0,1,Bank of Montreal
benign,0,1,etrade
benign,0,0,benign
benign,0,1,lcl
benign,0,1,latam
benign,0,1,knab
benign,0,1,HSBC Bank
benign,0,1,Barclays Bank Plc
benign,0,1,Absa Group
benign,0,1,fnac
benign,0,0,benign
benign,0,0,benign
benign,0,1,fnac
benign,0,1,SunTrust Bank
benign,0,1,infinisource
benign,0,1,otrs
benign,0,1,Bank of Montreal
benign,0,1,postbank
benign,0,0,benign
benign,0,0,benign
benign,0,1,docmagic
benign,0,0,benign
benign,0,1,Cogeco
benign,0,1,Facebook
benign,0,1,Alibaba
benign,0,1,LinkedIn Corporation
benign,0,0,benign
benign,0,1,dkb
benign,0,1,barclaycard
benign,0,1,BNP Paribas
benign,0,1,sharp
benign,0,1,Steam
benign,0,1,Steam
benign,0,1,Bank of Montreal
benign,0,1,Bank of Montreal
benign,0,1,Bancolombia
benign,0,1,typeform
benign,0,1,sunrise
benign,0,1,AOL
benign,0,1,crate_and_barrel
benign,0,1,SunTrust Bank
benign,0,1,Adobe
benign,0,1,hfe
benign,0,1,Chase Personal Banking
benign,0,1,Government of the United Kingdom
benign,0,1,Lloyds TSB Group
benign,0,1,Microsoft
benign,0,0,benign
benign,0,1,Orange
benign,0,0,benign
benign,0,1,DHL Airways
benign,0,1,DHL Airways
benign,0,1,mbank
benign,0,0,benign
benign,0,1,sharp
benign,0,1,Itau Unibanco S.A
benign,0,1,Bank of New Zealand
benign,0,1,Microsoft
benign,0,1,Wells Fargo & Company
benign,0,0,benign
benign,0,1,Deutsche Bank AG
benign,0,1,bradesco
benign,0,1,Bankia
benign,0,1,summit_bank
benign,0,0,benign
benign,0,0,benign
benign,0,1,AT&T
benign,0,0,benign
benign,0,1,PayPal
benign,0,1,Wells Fargo & Company
benign,0,1,Sparkasse Bank
benign,0,1,sicil_shop
benign,0,1,Alibaba
benign,0,1,TradeKey
benign,0,1,La Poste
benign,0,1,eBay
benign,0,1,Commonwealth Bank of Australia
benign,0,1,Microsoft
benign,0,1,AT&T
benign,0,0,benign
benign,0,1,infinisource
benign,0,1,blizzard
benign,0,1,BT Group plc
benign,0,0,benign
benign,0,1,latam
benign,0,1,Bancolombia
benign,0,1,Absa Group
benign,0,0,benign
benign,0,1,cathay_bank
benign,0,1,Microsoft
benign,0,1,ocn
benign,0,1,tech_target
benign,0,1,LinkedIn Corporation
benign,0,1,TradeKey
benign,0,1,AT&T
benign,0,0,benign
benign,0,1,Itau Unibanco S.A
benign,0,1,Bancolombia
benign,0,0,benign
benign,0,1,Chase Personal Banking
benign,0,1,fnac
benign,0,1,crate_and_barrel
benign,0,1,Bank of America
benign,0,0,benign
benign,0,1,Steam
benign,0,1,Alibaba
benign,0,0,benign
benign,0,1,SunTrust Bank
benign,0,1,BB&T Corporation
benign,0,1,PayPal
benign,0,0,benign
benign,0,0,benign
benign,0,0,benign
benign,0,1,postbank
benign,0,1,Steam
benign,0,1,Dropbox
benign,0,1,Bank of Montreal
benign,0,0,benign
